id,unit,view,evidence,between_subject_spread,spread_known,measured_pipeline_noise,measured_within_person_rsd,apriori_yaw,apriori_pitch,apriori_roll,measured_yaw_ortho,measured_pitch_ortho,measured_roll_ortho,measured_yaw_persp1m,measured_pitch_persp1m,measured_roll_persp1m,disc_measured_ortho_0.5,pose_err_measured_ortho_0.5,disc_measured_ortho_3.0,pose_err_measured_ortho_3.0,disc_measured_ortho_8.0,pose_err_measured_ortho_8.0,disc_measured_persp1m_0.5,pose_err_measured_persp1m_0.5,disc_measured_persp1m_3.0,pose_err_measured_persp1m_3.0,disc_measured_persp1m_8.0,pose_err_measured_persp1m_8.0,disc_as_shipped_0.5,verdict_as_shipped_0.5,informative_as_shipped_0.5,informative_measured_0.5,disc_as_shipped_3.0,verdict_as_shipped_3.0,informative_as_shipped_3.0,informative_measured_3.0,disc_as_shipped_8.0,verdict_as_shipped_8.0,informative_as_shipped_8.0,informative_measured_8.0
interpupillary_distance,mm,frontal,validated_2d,0.0617224687123274,True,0.0001462271770860949,,0.001519224698779198,0.0,0.0,0.001519224698779196,0.0,1.1214373986112694e-17,0.0015195283454346473,0.0005403254004053545,1.1214373986112694e-17,7.4185314984497115,0.008318753546562826,5.093580540188393,0.012116815293510816,3.130977645415313,0.0197129387874068,6.98850348387586,0.008830790260980097,4.798278220761467,0.012862630668057371,2.949442949899771,0.020926311482211916,7.418531498449702,separates individuals well,True,True,5.093580540188387,separates individuals well,True,True,3.130977645415309,separates individuals well,True,True
intercanthal_width,mm,frontal,validated_2d,0.07232704402515723,True,0.0002592465606050526,,0.001519224698779198,0.0,0.0,0.001519224698779209,0.0,1.1102230246251566e-17,0.001530810771118986,0.0005761748891259381,0.0,8.690237918955356,0.008318753546562897,5.96778058546344,0.01211681529351092,3.6686965396863833,0.019712938787406965,8.07219350658961,0.008956272297814042,5.543160558382505,0.013045403562393042,3.40759454638983,0.02122366609155104,8.690237918955416,separates individuals well,True,True,5.967780585463483,separates individuals well,True,True,3.66869653968641,separates individuals well,True,True
biocular_width,mm,frontal,validated_2d,0.042312478787193124,True,9.432127855697898e-05,,0.001519224698779198,0.0,0.0,0.0015191753757923484,4.857368383220068e-08,1.5789584216635607e-17,0.001480723820587275,0.0006187545252245082,1.5915900890368692e-17,5.086234669157969,0.00831848347505053,3.492053765960038,0.012116421916472752,2.1464769202987,0.0197122987993172,4.814873081191412,0.008787363821815757,3.3057335001673223,0.012799377184315614,2.0319465978531994,0.020823403909315325,5.086069563832232,separates individuals well,True,True,3.491940401969778,separates individuals well,True,True,2.1464072357007264,separates individuals,True,True
nose_breadth,mm,frontal,validated_2d,0.13322350238491343,True,0.00023855594911226566,,0.001519224698779198,0.0,0.0,0.0015192246987792025,0.0,0.0,0.001572706860278355,0.00024392933683462076,2.0647535968558203e-17,16.008258486023674,0.008318753546562863,10.992796933244646,0.012116815293510868,6.7576808238944155,0.019712938787406882,15.28171866831076,0.008714570484973034,10.493683133704558,0.01269334886983501,6.450787999064352,0.02065090563955896,16.008258486023724,separates individuals well,True,True,10.99279693324468,separates individuals well,True,True,6.757680823894436,separates individuals well,True,True
mouth_width,mm,frontal,validated_2d,0.08875567064350719,True,0.00016939475178420245,,0.001519224698779198,0.0,0.0,0.0015188624318298685,3.567645929416877e-07,1.3662666592043833e-17,0.0015851850946144732,0.0006579405230563284,6.7220319632855644e-18,10.669678841787045,0.008316770126391114,7.326030562579884,0.012113926310716035,4.503314263911998,0.019708238679365872,9.44267955942263,0.009397889188715189,6.483392431559046,0.013688647801760448,3.985291671279812,0.022270165027850966,10.667135950755757,separates individuals well,True,True,7.324284176296193,separates individuals well,True,True,4.502240628934572,separates individuals well,True,True
philtrum_width,mm,frontal,conventional,0.06,True,0.000799415072808859,,0.001519224698779198,0.0,0.0,0.001519224698779195,0.0,1.6148698540002276e-17,0.0016262815060443712,0.0005579682633819394,1.5761129775042224e-17,7.1795443199217654,0.008318753546562823,4.941054197775514,0.012116815293510809,3.041186578047565,0.019712938787406785,6.350294967627953,0.009414500531957963,4.368044042663604,0.013712843322967225,2.687708799813654,0.022309528904985748,7.179544319921754,separates individuals well,True,True,4.941054197775505,separates individuals well,True,True,3.0411865780475593,separates individuals well,True,True
bizygomatic_width,mm,frontal,requires_3d,0.05441406991873145,True,6.052728096353942e-05,,0.019,0.01,0.005,0.0015192246987791912,0.0,0.0,0.0014106652383916664,0.0002910026823360526,2.060070002686021e-17,6.540959450799715,0.0083187535465628,4.49073372104547,0.012116815293510778,2.7603095617172917,0.019712938787406736,6.899042436888154,0.007886959402211244,4.736585131595806,0.011487878534819434,2.9114290576475352,0.018689716800035814,0.45077183779587743,uninformative: this photograph contributes more variance than this person does,False,True,0.3094757147585349,uninformative: this photograph contributes more variance than this person does,False,True,0.19022329710647443,uninformative: this photograph contributes more variance than this person does,False,True
bigonial_width,mm,frontal,requires_3d,0.09450495538619305,True,7.642422387448675e-05,,0.019,0.01,0.005,0.0015192246987791984,0.0,1.2146029671112825e-17,0.001376763996047056,0.0010124726661272336,1.2486118501903983e-17,11.359991250129507,0.00831875354656284,7.799332857815867,0.012116815293510835,4.794021135461756,0.01971293878740683,10.098789021666823,0.009357736223592454,6.933407501382045,0.013630162349684517,4.261751157089584,0.022175014601868645,0.7828888613090293,uninformative: this photograph contributes more variance than this person does,False,True,0.5374894329761446,uninformative: this photograph contributes more variance than this person does,False,True,0.3303749194676888,uninformative: this photograph contributes more variance than this person does,False,True
nose_height,mm,frontal,validated_2d,0.08913537829061696,True,0.0001703976381512617,,0.0,0.001519224698779198,0.0,5.365895638912537e-05,0.003276380710696801,1.340646671245472e-17,2.2661700666983162e-05,0.0029890253018620755,1.009997223495552e-05,4.967543589262565,0.017942743225826674,3.4105294931780903,0.02613479342900645,2.096354219800121,0.042518893835366,5.445600534978056,0.01636744151213195,3.738763478026705,0.023840262188292296,2.298116324910365,0.038785903540612995,10.712744901258972,separates individuals well,True,True,7.35560982773572,separates individuals well,True,True,4.521499784295171,separates individuals well,True,True
face_height_sellion_menton,mm,frontal,validated_2d,0.06796648369836662,True,0.00045216007414457715,,0.0,0.001519224698779198,0.0,4.188003675764662e-07,0.0015192246987791986,0.0,1.294537373190072e-05,0.0017648346971165009,8.986568677300965e-07,8.158229823416391,0.008318753862643802,5.605367899462406,0.012116815753903684,3.4469040749522413,0.019712939536423446,7.025349418998988,0.009663890908147524,4.826014294539459,0.014076096917072874,2.9673244162478043,0.022900508934923576,8.158230132484956,separates individuals well,True,True,5.605368112148873,separates individuals well,True,True,3.4469042058526043,separates individuals well,True,True
