condition,id,unit,view,axis,value_at_zero,measured_secant_5deg,measured_secant_10deg,measured_secant_10deg_absolute,measured_secant_20deg,measured_secant_30deg,lsq_slope_through_origin,max_abs_deviation_30deg,apriori_sensitivity,apriori_source,measured_over_apriori,deviation_at_plus10,deviation_at_minus10,asymmetric_in_sign
3d,canthal_tilt_l__horizon,deg,frontal,yaw,4.9999999999999964,0.03015543381079846,0.030818307555007297,0.030818307555007297,0.03370805327292785,0.03955381902766949,0.035864589913559036,2.189034608776601,0.05,Vaca et al. 2022 pitch sweep; roll cancels against the interpupillary axis,0.6163661511001459,-0.21285887247668445,0.4035072786234615,True
3d,canthal_tilt_l__horizon,deg,frontal,pitch,4.9999999999999964,0.34169477634922757,0.3401601867041898,0.3401601867041898,0.3341067926080237,0.3243067862182211,0.33050999829674105,10.520285284008388,0.27,Vaca et al. 2022 pitch sweep; roll cancels against the interpupillary axis,1.259852543348851,3.3086379721166264,-3.4945657619671704,False
3d,canthal_tilt_l__horizon,deg,frontal,roll,4.9999999999999964,0.9999999999999997,1.0000000000000004,1.0000000000000004,0.9999999999999997,0.9999999999999999,1.0,29.999999999999996,0.01,Vaca et al. 2022 pitch sweep; roll cancels against the interpupillary axis,100.00000000000004,-10.0,10.000000000000005,False
3d,canthal_tilt_r__horizon,deg,frontal,yaw,5.999999999999999,0.03610439950343265,0.036894338277963755,0.036894338277963755,0.04033575762012653,0.04728580172463695,0.04289969814920328,2.6165822293884817,0.05,Vaca et al. 2022 pitch sweep; roll cancels against the interpupillary axis,0.737886765559275,0.48299168269715853,-0.2548950828621166,True
3d,canthal_tilt_r__horizon,deg,frontal,pitch,5.999999999999999,0.34055847989786736,0.33905923373256314,0.33905923373256314,0.3331376139388483,0.32352665072943537,0.3296097299301042,10.653095821987918,0.27,Vaca et al. 2022 pitch sweep; roll cancels against the interpupillary axis,1.2557749397502338,3.279345597241414,-3.5018390774098487,False
3d,canthal_tilt_r__horizon,deg,frontal,roll,5.999999999999999,1.0000000000000004,1.0000000000000004,1.0000000000000004,1.0,0.9999999999999998,1.0,30.0,0.01,Vaca et al. 2022 pitch sweep; roll cancels against the interpupillary axis,100.00000000000004,10.000000000000004,-10.000000000000004,False
3d,canthal_tilt_asymmetry__horizon,deg,frontal,yaw,1.0000000000000027,0.0662598333142311,0.06771264583297106,0.06771264583297106,0.05394940009236859,0.053506287418973016,0.05302861028854587,2.80077676227205,0.01,"measured against the interpupillary axis, so roll cancels exactly; residual is landmark noise in the pupils (evals/ pose sweep)",6.771264583297105,0.695850555173843,-0.6584023614855781,False
3d,canthal_tilt_asymmetry__horizon,deg,frontal,pitch,1.0000000000000027,0.001136296451360197,0.0018282845158945405,0.0018282845158945405,0.0035844689430939826,0.0052071534214367015,0.004130435563346388,0.17961866730667264,0.01,"measured against the interpupillary axis, so roll cancels exactly; residual is landmark noise in the pupils (evals/ pose sweep)",0.18282845158945404,-0.029292374875212523,-0.007273315442678285,True
3d,canthal_tilt_asymmetry__horizon,deg,frontal,roll,1.0000000000000027,1.7999999999999996,1.9000000000000004,1.9000000000000004,1.95,1.9666666666666661,1.952,59.999999999999986,0.01,"measured against the interpupillary axis, so roll cancels exactly; residual is landmark noise in the pupils (evals/ pose sweep)",190.00000000000003,20.000000000000004,18.000000000000004,False
3d,ocular_height_asymmetry__horizon,deg,frontal,yaw,0.32521472425483294,0.0002484481156844742,0.0005016851068294248,0.0005016851068294248,0.001043553210763526,0.001676984955359978,0.0012638593311240921,0.05030954866079934,0.01,"measured against the interpupillary axis, so roll cancels exactly; residual is landmark noise in the pupils (evals/ pose sweep)",0.05016851068294248,0.005016851068294248,0.005016851068294248,False
3d,ocular_height_asymmetry__horizon,deg,frontal,pitch,0.32521472425483294,0.00024750275639797705,0.0004940638701884992,0.0004940638701884992,0.0009806231894925327,0.001452325173494573,0.001140128622209823,0.0435697552048383,0.01,"measured against the interpupillary axis, so roll cancels exactly; residual is landmark noise in the pupils (evals/ pose sweep)",0.04940638701884992,-0.004940638701884992,-0.004940638701884992,False
